,lat,long,color
133,51.23183,-0.561406,0.3333333333333333
134,51.231847,-0.561435,0.3333333333333333
135,51.231899,-0.561525,0.16666666666666666
136,51.232493,-0.563638,0.16666666666666666
137,51.23259,-0.56406,0.16666666666666666
138,51.232681,-0.56442,0.16666666666666666
139,51.23279,-0.564819,0.16666666666666666
140,51.232878,-0.565143,0.16666666666666666
141,51.233137,-0.566221,0.16666666666666666
142,51.233571,-0.566256,0.16666666666666666
143,51.233706,-0.566255,0.3333333333333333
144,51.233724,-0.566255,0.3333333333333333
145,51.234041,-0.566241,0.16666666666666666
146,51.234219,-0.5662,0.16666666666666666
147,51.23434,-0.566145,0.16666666666666666
148,51.234604,-0.565975,0.16666666666666666
149,51.234752,-0.565864,0.16666666666666666
150,51.235466,-0.564662,0.16666666666666666
